Date,Coffee,Roast,Personal Rating,Store,Fixtures (N/A if rating is for black),Notes
9/1/16,Folger's: Instant Coffee,Medium,0.5/5,Costco,"Creamer, Sugar","Tastes better than Taster's Choice, but still shoddy"
9/12/16,Taster's Choice: Instant Coffee,Medium-Light,0/5,Costco,"Creamer, Sugar",Tastes like chemicals
10/14/16,Seattle's Best: Level 4,Medium-Dark,3.0/5,Target,N/A,"Strong flavor, big aroma"
10/26/16,Joe: Tall Dark and Handsome,Dark,4.0/5,TJMaxx,N/A,"My favorite coffee yet, strong dark flavor"
10/26/16,Hawaiian Gold: Original Kona,Medium,2.0/5,TJMaxx,N/A,"Varies in flavor, sometimes acidic, shy flavor"
12/8/16,Starbucks: Veranda,Light,3.0/5,Safeway,N/A,"A lot better than I expected; no awful acidic aftertaste, stronger flavor than stated"
12/11/16,San Francisco Bay: French Roast OneCup,French,4.0/5,Costco,N/A,"Flavor is blended with something, pretty damn yummy, kinda creamy without creamer"
12/12/16,Starbucks: Holiday Blend 2016,Medium,0.5/5,Ross,N/A,This tastes so burnt. Its only saving grace is that it doesn't taste like chemicals
N/A,Starbucks: Pike Place,Medium,0/5,Starbucks,"Creamer, Sugar",BULLSHIT
12/15/16,Peet's: Sumatra K-Cup,Dark,3.5/5,Target,N/A,"Holy crap, this is strong stuff. There is a pretty strong aftertaste; makes me thirsty. It has some flowery flavor in it too."
12/20/16,Starbucks: French Roast,French,3.25/5,Ross,N/A,"San Francisco Bay is better, but this doesn't fall too short. It's much better than Pike place, although there are hints of burning somewhere."
12/19/16,Mr. Espresso: Sumatra Classic Lintong,Medium-Dark,3.0/5,Never Too Latte,N/A,"The flavor here was a bit too fruity for me, although I would drink it from time to time if it was presented to me"
12/19/16,Never Too Latte: Pistachio Mocha Latte,Special,3.75/5,Never Too Latte,Special,"This was delicious. I'm glad I drank it, but I would only drink this for dessert -- not for a morning wake up call."
3/7/17,Peet's: Major Dickason's,Dark,2.75/5,Costco,Cream,I don't think I really like this. It's tangy.
2/23/17,Peet's: French Roast,French,3.0/5,Costco,Cream,I don't like this as much as the SF Bay French Roast.